questionType,asin,answerTime,unixTime,question,answerType,answer
yes/no,B00001IVRD,13-Jul-14,1405234800,Does this works on Mac (Mavericks)?,?,"No, I didn't know it until I got it. I have to symulate one of te OS which the game is compatible with."
yes/no,B00001IVRD,10-Sep-14,1410332400,Does this game work on Windows 8?,Y,"Don't know, I use it on Windows 7. There is a problem with it saving games, other than that is just like when it came out."
yes/no,B00001IVRD,6 days ago,,Does this battle chest version come with a map editor?,Y,Yes it does. Thanks for your interest.
yes/no,B00001IVRD,3-May-14,1399100400,is it strictly online game?,N,No starcraft has a decent single player campaign as well as the ability to play scenarios and general free for all against bots or people or a mix. If you get the game do a search for custom maps and scenarios. The map editor is extremely versatile and people have made dozens of custom scenarios and setting. I've even found mini rpgs
yes/no,B00001IVRD,30-Mar-15,1427698800,Has everyone playing on Windows 7 had problems with saving games?,?,I have never had a problem saving
yes/no,B00001IVRD,11-Mar-15,1426057200,Can this game be installed on more than one computer? I would like to install it in my laptop and my tablet.,Y,Yes Sr!
yes/no,B00001IVRD,21-Feb-15,1424505600,will star craft run on windows 7 x64,Y,Yes
open-ended,B00001IVRD,14-Feb-15,1423900800,My current Starcraft and Starcraft expansion look grainy on my Windows 7 - is this updated to work properly?,,"I play mine on windows 8.1 right click your desktop icon and go into properties and than comparability, go down the windows list and find which one looks best on your computer. Might also be an in game graphics setting and might be on Low, check that first."
yes/no,B00001IVRD,12-Feb-15,1423728000,Is there still a good amount of online games with good not types?,Y,Yes
yes/no,B00001IVRD,22-Apr-14,1398150000,Does this work on Windows 8 x64?,?,It seems so: http://www.eightforums.com/gaming/4295-starcraft-1-windows-8-beautiful.html
yes/no,B00001IVRD,13-Jul-14,1405234800,Does this works on Mac (Mavericks)?,?,"No, I didn't know it until I got it. I have to symulate one of te OS which the game is compatible with."
yes/no,B00001IVRD,10-Sep-14,1410332400,Does this game work on Windows 8?,Y,"Don't know, I use it on Windows 7. There is a problem with it saving games, other than that is just like when it came out."
yes/no,B00001IVRD,6 days ago,,Does this battle chest version come with a map editor?,Y,Yes it does. Thanks for your interest.
yes/no,B00001IVRD,3-May-14,1399100400,is it strictly online game?,N,No starcraft has a decent single player campaign as well as the ability to play scenarios and general free for all against bots or people or a mix. If you get the game do a search for custom maps and scenarios. The map editor is extremely versatile and people have made dozens of custom scenarios and setting. I've even found mini rpgs
yes/no,B00001IVRD,30-Mar-15,1427698800,Has everyone playing on Windows 7 had problems with saving games?,?,I have never had a problem saving
yes/no,B00001IVRD,11-Mar-15,1426057200,Can this game be installed on more than one computer? I would like to install it in my laptop and my tablet.,Y,Yes Sr!
yes/no,B00001IVRD,21-Feb-15,1424505600,will star craft run on windows 7 x64,Y,Yes
open-ended,B00001IVRD,14-Feb-15,1423900800,My current Starcraft and Starcraft expansion look grainy on my Windows 7 - is this updated to work properly?,,"I play mine on windows 8.1 right click your desktop icon and go into properties and than comparability, go down the windows list and find which one looks best on your computer. Might also be an in game graphics setting and might be on Low, check that first."
yes/no,B00001IVRD,12-Feb-15,1423728000,Is there still a good amount of online games with good not types?,Y,Yes
yes/no,B00001LDCK,24-Apr-14,1398322800,will this game work on windows 7,Y,"Yes, but don't buy it because Homeworld 1 and 2 coming out later this year remastered, and they will work on any modern PC."
yes/no,B00001LDCK,17-Apr-14,1397718000,does it work on Windows 7?,Y,I've had no problems with it working on my Dell lap top using windows 7.
yes/no,B00001LDCK,12-Dec-14,1418371200,will it work with vista?,Y,yes with some adjustments but you can get it to work.
yes/no,B00001LDCK,4-Jul-14,1404457200,Will this work on windows 8?,?,"Probably, but I'm not sure."
yes/no,B00001LDCK,24-Apr-14,1398322800,will this game work on windows 7,Y,"Yes, but don't buy it because Homeworld 1 and 2 coming out later this year remastered, and they will work on any modern PC."
yes/no,B00001LDCK,17-Apr-14,1397718000,does it work on Windows 7?,Y,I've had no problems with it working on my Dell lap top using windows 7.
yes/no,B00001LDCK,12-Dec-14,1418371200,will it work with vista?,Y,yes with some adjustments but you can get it to work.
yes/no,B00001LDCK,4-Jul-14,1404457200,Will this work on windows 8?,?,"Probably, but I'm not sure."
open-ended,B00002DHEV,12-May-14,1399878000,"Description says the N64 comes in the original box, but no pictures of this are shown. Please provide an image of the box, so we may see its quality.",,"make sure you read each sellers description, not the header. each seller sells there item a little different. how ever if the seller states its in the original box they should provide you with pictures. if they cant don't buy it"
yes/no,B00002DHEV,3-Sep-14,1409727600,Does the system come with the jumper pack and any games?,?,"You have to read the sellers description, if they mention that they're included, you're good to go. Also ask for exact pictures of the actual item."
yes/no,B00002DHEV,12-Apr-15,1428822000,I have a Wii U and Nintendo is starting to put up N64 games up on Virtual Console. Should I still get the N64?,Y,I say yes just because its always fun to have the old system...and sometimes the new system and games cant compare to the feel and control of old systems&#128516;
yes/no,B00002DHEV,3 days ago,,does it have av and power cord,Y,"Mine did, but it will depend on the seller you buy it from. Usually they'll have a description somewhere on the page that says what it comes with."
open-ended,B00002DHEV,6 days ago,,dos it come with a game?,,"no, system only, no game, no cords, no controllers"
open-ended,B00002DHEV,22-Feb-15,1424592000,How many controllers?,,I received one controller as written in the description from whom I bought it from.
yes/no,B00002DHEV,25-Nov-14,1416902400,does this nintendo modle work with the expansion pack genaric that u can get on amazon,Y,Yes
open-ended,B00002DHEV,10-Sep-14,1410332400,What would you recommend cleaning the outer surface of the console?,,Alcohol pads work well. They also work well for cleaning the electrical connections.
yes/no,B00002DHEV,5-Sep-14,1409900400,Does Ocarina of Time require the expansion pak?,?,"Wow it's been years since i played ocarina but last time i remember, i dont think so but like i said its been years so you can probably ask another"
yes/no,B00002DHEV,3-Sep-14,1409727600,Is an expansion pak really necessary?,?,I don't think it is
yes/no,B00002JXBC,1-Aug-14,1406876400,does this work on windows 2000,Y,Yes this product is compatible with Windows 2000
open-ended,B00002JXBC,19-Apr-14,1397890800,this product works for xbox 360 F1 Racing?,,"It should if xbox has usb port, but we are not sure."
yes/no,B00002JXBC,7-Jul-13,1373180400,does this have force feedback,N,No!
open-ended,B00002JXBC,3-Apr-11,1301814000,compatable: does this wheel work on windows 7?,,"i need to know the same question myself just orederd one on amazon , please help ? any tips or info."
yes/no,B00002SANH,12-Jun-14,1402556400,One of the reviewers mentioned having prostitutes at the end of the game. I am looking to buy this for my grandchildren. Are there prostitutes?,Y,"I've been playing this game for over fifteen years and I have never come across a single prostitute. It could be a typo, you can prospect for gold if you take the 'Sacramento Trail'. Maybe he meant 'prospectors'. I think it's a good idea that you are buying this game for your grandchildren. Just be sure that they have a computer that can run it. I played it on ""Windows 95"" in my youth but it works with my ""Windows XP"" laptop. Any newer Windows OS probably won't run it. You could try stuff like 'Doss Box' but that is a route that you probably don't want to take because of all the complex computer work. You could take the computer to a microsoft store but that could end up costing hundreds of dollars and even then, it's not guaranteed to work. But if you do have the proper computer hardware, ""Oregon Trail 2"" is the best version of the ""Oregon Trail"" series."
yes/no,B00002SANH,13-Oct-14,1413183600,"Will this version work with a Windows XP, 3.3 GHz, 1.98 GB of Ram?",Y,It should. If you have a 32 bit version of windows Xp should work out of the box. If you have the 64 bit version you will need to manually install it but it will work fine too.
open-ended,B00002SANH,14-Oct-14,1413270000,How many discs does this software have? Do new discs need to be inserted to go on in the game?,,"There is just one disc, so no need to change anything during the game. It worked fine with my Windows 7 laptop. I just got a new Windows 8 laptop -- haven't tried it on that yet."
open-ended,B00002SANH,20-Aug-14,1408518000,This game will not install because I have a 64 bit processor and this game is for a 32 bit processor only. How can I install this game on my computer?,,You can't. This program is for much older computer and won't install on newer models. I had the same issue.
yes/no,B00002SANH,26-Feb-15,1424937600,will this work on newer computer like 8.1?,?,"No it won't, not out of the box. There is a work around that you can look up online though, after that it runs fine. I've done the modification myself and it works with my windows 8.1 64bit laptop."
open-ended,B00002SANH,2-Feb-15,1422864000,does it read to the player or does the player have to do reading on each page to understand what to do next? My child is not proficient enough to read,,I think if you click a button it will read to you but I'm not 100% sure
open-ended,B00002SANH,7-Jan-15,1420617600,I cannot get the game to work on my lap top operates windows 7 64 bit pc,,I never got it to work on Windows 7 ...it will only work on XP
yes/no,B00002SANH,17-Apr-14,1397718000,Will this work for a MacBook?,?,No it's for windows. An older version like 95. I can't even play it.
yes/no,B00002SANH,11-Aug-13,1376204400,"I have Windows 8, will this work on my computer?",?,"Normally no, but there is a work around that I found just by Googling for solutions. I can now play it on Windows 8, but I have to go into the file folder and click on a particular icon. It will then play in a smaller window. It does not fill up the entire screen. Otherwise it works."
yes/no,B00002SANH,11-Aug-13,1376204400,I have Windows 8 on my computer. will this work?,?,Windows 8 I'm not sure I have 7 & it wouldn't work i luckily have a laptop that has XP on it so that's how I found out it worked on XP
yes/no,B000035Y6D,8-Dec-14,1418025600,Does it come in the original box?,?,No. And the console didn't work. I used the cords that came to hook up to a previous console I already had.
open-ended,B000035Y6D,8-Dec-14,1418025600,"What all does your system come with, The wire hook up for the tv, controllers? anything?",,Yes
open-ended,B000035Y6D,28-Nov-14,1417161600,How do you set it up with the new flat screen TV's. Any differance?,,You should be able to plug it in the same and then go to channel 3
yes/no,B000035Y6D,18-Dec-14,1418889600,"I would like to setup a package deal please. I would like all needed cables for play, two controllers, and donkey kong country. Can you do this?",?,"You have to do some shopping, go to Gamestop and I'm sure you'll find what you're looking for."
open-ended,B000035Y6D,18-Dec-14,1418889600,whats the cost for the whole system meaning the picture with the games control ect,,"It costs $50.00 and up, depending on the condition."
open-ended,B000035Y6D,18-Dec-14,1418889600,whats the cost for the whole system meaning the picture with the games control ect,,$50.00 and up.
open-ended,B000035Y6D,18-Dec-14,1418889600,"Anyone elses show up without cables r a controller, despite what the ad says??? Messed up.",,"You need to ask the seller which items are included, ask for pictures."
open-ended,B000035Y6D,16-Jul-14,1405494000,I WOULD LIKE TO KNOW THIS NITENDO COME WITH 2 Controllers ??,,"Hi Mr Reis. It does not come with 2 controllers unless it specifies. Your in luck though. I can sell you a setup like that for a very affordable price. Would you like me to help you out with that, sir? Thanks!"
open-ended,B000035Y6D,18-Dec-14,1418889600,Hello. What come with this??????????????,,It all depends on who you're buying it from. Read the seller's description to find out what items are included.
yes/no,B000035Y6D,12-Jun-14,1402556400,Does this include the original box?,?,"Only if the seller you select advertises it as 'includes original box'. Most are fairly specific saying 'console only 'or 'console and power, no video cable', etc. If you want the box, check the 'collectible' section of resellers."
yes/no,B00004VUFG,14-Aug-13,1376463600,can I use this with my xbox 360?,?,No.this is for the pc only
yes/no,B00004VUFG,26-Nov-13,1385452800,can you buy games for children to play with this,?,I do not know. My 8 year old nephew would use the wheel to play my husband's Formula 1 racing game. But we didn't have any children's games to try it with.
yes/no,B00004VUFG,10-Mar-15,1425970800,will it work with papyrus nascar4?,Y,yes
yes/no,B00004VUFG,12-Feb-15,1423728000,Does this work on Mac computers?,N,No
open-ended,B00004VUFG,1-Jan-15,1420099200,I have a formula force set I bought this for my autistic grandson Im not very familar with tech it doesn't have the software how do I get it,,Go to Logitech website to download
yes/no,B00004VUFG,6-Dec-14,1417852800,Will This work on Windows 8.1?,Y,Yes it will. To use it on anything you will need to get the Logitech Profiler. But as long as you install the profiler it will automatically download drivers when you plug it in.
yes/no,B00004VUFG,1-Dec-14,1417420800,"does this have a d pad and the X,Y,A,B buttons? I don't see any in the pic. Thanks!",?,"No, but it does have programmable buttons."
yes/no,B00004VUFG,16-Jul-14,1405494000,Does this wheel only turn 90 degrees left and right?,Y,Yes
yes/no,B00004VUFG,2-Jul-14,1404284400,does this steering wheel work with farming simulator2013,Y,"It works fine with Euro Truck Simulator 2, made by the same company around the same time, so I would assume it does. Yes."
open-ended,B00004XRBB,12-May-14,1399878000,How many missions and planes are there?,,"The simulator includes a good variety of WWII fighter planes including the P-51D Mustang, P-47D Thunderbolt, P-38J Lightning, Supermarine Spitfire Mk.IX, Bf1096G-6, Fw190A-8, and Me262A1. Missions: There are 35 single missions, a full campaign (which may be played as the Axis or Allies), and the mission editor to create your own mission."
open-ended,B00004XRBB,27-Feb-15,1425024000,Does it work on 64-bit Windows 7 and is a joystick compadible with it?,,after meny tries i could not get any of my old or new fighter programs to work on 7 -64 bit.
yes/no,B00004XRBB,9-Feb-15,1423468800,Does it work on Windows XP?,?,Mine worked on my xp system but couldn't get it to load right on 7 - 64 bit
yes/no,B00004XRBB,9-Jan-15,1420790400,does it work on Windows 7?,Y,"Yes it does, works on mine. Have fun !!"
yes/no,B00004XRBB,11-Sep-14,1410418800,Will this program run on the XP system,?,"It is old enough to run on XP, been out for a while."
yes/no,B00004XRBB,11-Sep-14,1410418800,Will this program run on the XP system,Y,Yes. I've run it on XP & Windows 7.
yes/no,B00004XRBB,22-Jul-14,1406012400,Does this game have Force Feedback?,?,I don't think so.
yes/no,B00004XRBB,9-Jul-14,1404889200,Does this work with windows 7,Y,Yes. I'm running it on my laptop that has windows 7.
yes/no,B00004XRBB,14-May-14,1400050800,Can u fly the Junkers JU 87-B STUKA,?,Sorry I never saw the plane except in movies. I also. never flew a taildrager. .Bob
open-ended,B00004XRBB,9-Dec-14,1418112000,Anyone run this on windows 8.1,,I tried--it didn't work.
open-ended,B00004XRBB,12-May-14,1399878000,How many missions and planes are there?,,"The simulator includes a good variety of WWII fighter planes including the P-51D Mustang, P-47D Thunderbolt, P-38J Lightning, Supermarine Spitfire Mk.IX, Bf1096G-6, Fw190A-8, and Me262A1. Missions: There are 35 single missions, a full campaign (which may be played as the Axis or Allies), and the mission editor to create your own mission."
open-ended,B00004XRBB,27-Feb-15,1425024000,Does it work on 64-bit Windows 7 and is a joystick compadible with it?,,after meny tries i could not get any of my old or new fighter programs to work on 7 -64 bit.
yes/no,B00004XRBB,9-Feb-15,1423468800,Does it work on Windows XP?,?,Mine worked on my xp system but couldn't get it to load right on 7 - 64 bit
yes/no,B00004XRBB,9-Jan-15,1420790400,does it work on Windows 7?,Y,"Yes it does, works on mine. Have fun !!"
yes/no,B00004XRBB,11-Sep-14,1410418800,Will this program run on the XP system,?,"It is old enough to run on XP, been out for a while."
yes/no,B00004XRBB,11-Sep-14,1410418800,Will this program run on the XP system,Y,Yes. I've run it on XP & Windows 7.
yes/no,B00004XRBB,22-Jul-14,1406012400,Does this game have Force Feedback?,?,I don't think so.
yes/no,B00004XRBB,9-Jul-14,1404889200,Does this work with windows 7,Y,Yes. I'm running it on my laptop that has windows 7.
yes/no,B00004XRBB,14-May-14,1400050800,Can u fly the Junkers JU 87-B STUKA,?,Sorry I never saw the plane except in movies. I also. never flew a taildrager. .Bob
open-ended,B00004XRBB,9-Dec-14,1418112000,Anyone run this on windows 8.1,,I tried--it didn't work.
yes/no,B0000512IE,29-Jun-14,1404025200,Can I use these with Window 8/8.1?,Y,"Yes, you will need to go to their website to download version 4.55 or above of the CH Control Manager program, then you'll be all set. Find it here: http://www.chproducts.com/13-29170-Downloads-and-Community.php"
yes/no,B0000512IE,28-Aug-14,1409209200,Could this be adapted to be used in racing games also?,?,I googled the question and found many forums of users using both the CH yoke and pedals for racing games. So yes they can be use for racing. - Dave
open-ended,B0000512IE,20-Dec-14,1419062400,How far are the pedals apart? i.e. the spacing distance.,,4 inches. They are also at an awkward angle which is quite tasking during extended sessions.
yes/no,B0000512IE,2-Mar-15,1425283200,Is there any adjustment in sensitivity of the toe and heel positions. I have a model PPU995 which has no null position.,?,I don't think so. My son and husband use this for flight simulator and they seem pleased with it.
yes/no,B0000512IE,3-Feb-15,1422950400,"does anyone use them for Star Citizen, and if so how would you rate their preference?",?,"Yep. They're a bit small and certainly take some getting used to but they're accurate and work very well once you get them setup properly within the game. I use them for roll and use the xml route to set bindings which is a bit more complex than the in-game interface but it's more fully featured. 1 to 10, I'd give them a 6 or 7. There is much much better, but not for around a hundred bucks. Saitek's pedals are good too but they don't integrate with CH software which is one huge bonus for the whole CH line of gear. Good luck and see you in the verse."
yes/no,B0000512IE,28-Feb-15,1425110400,Do Pro Pedals work with Windows 8.1? Just got this yesterday. Devices/Printers recognized it. CtrlMgr didn't. Then Devices/Printers didn't.,?,"Mine do in Windows 8.1 x64. Also, plug and play, no CD needed."
yes/no,B0000512IE,19-Feb-15,1424332800,"I don't need 7 feet of USB cable. If I replaced the cable with a different, shorter one, would the pedals still work?",?,"No. The cable is hard-wired into the pedal base. The wires are very delicate, and would be difficult to reattach. It'd void the warranty. They are great pedals. I'd just coil up the excess cable and secure it with tape or a zip tie."
open-ended,B0000512IE,22-Dec-14,1419235200,"Does anyone use these for Elite Dangerous? If so, how are they?",,i actually do use these for Elite Dangerous and i have them set as yaw.. they work perfectly and needed no additional help or deadzone. they are spot on right out of the box.
open-ended,B0000512IE,22-Nov-14,1416643200,I bought the it but I don't know how to use it?,,"I suppose that if you buy it, you know what's it's for, that is to use with a plane simulator (the Joystick is used for pitch and roll control, and pedals for rudder/yaw control); Depending of what sort of sim. software you use, settings for this devise is generaly in the same control panel than the joystick one. On Windows you'll perhaps need to installe the drivers for it (for Mac nothing to do, as usual, it runs)"
yes/no,B0000512IE,11-Nov-14,1415692800,"Will these work with the Saitek Yoke, Throttle Quadrant and Trim Control?",?,"Yes, no problem"
open-ended,B000056SPM,17-Jan-08,1200556800,Not stable. how do you mount it? How do you mount this device?,,"You might try using a piece of 1"" X 2"" strip of wood about 11"" long as a shim between claps and the bottom of the table and/or desk. It worked great for me."
open-ended,B000056SPM,11-Nov-14,1415692800,"Is this only for flight sims, or can this be used for all driving games as well?",,I would not reccomend this for driver Sims limited turning radius.about 45 degrees each way.
yes/no,B000056SPM,7-Dec-13,1386403200,"can u use it with xplane 9? Please anwser before 15.12.13, that be great because i need it for my sun's christmas present",Y,"My 14 year old son has this exact model of Yoke and he has had it for 4 years. He believes that it is compatible with xplane and looked it up and could find nothing that said it was NOT compatible. Additionally my experience with AMAZON is that if you buy something believing it will work with something else and it does not, they will take it back and refund the full price as long as it is returned to them quickly, is not damaged and has all of the items that came with the product like manuals etc. Good Luck"
open-ended,B000056SPM,17-Dec-14,1418803200,What are the default assignments to the buttons and levers in Flight Simulator X?,,"I can't remember but then again, who cares! You can and should customize them yourself and it is very easily done! One thing for sure, calibrate your yoke as otherwise it will not work properly! It's also very easily to do, takes 1 min at most!"
yes/no,B000056SPM,27-Sep-13,1380265200,does it work with mac 10.8.5,?,Yes....plug and play.
yes/no,B000056SPM,28-Nov-14,1417161600,My son has the Microsoft flight simulator X plane 10 and wants a yoke. Is this compatible?,Y,Yes
yes/no,B000056SPM,2-Oct-14,1412233200,does it works with car simulation game?,?,Not sure as it was designed for flight simulator. I would not buy it for car sim though.
open-ended,B000056SPM,17-Aug-14,1408258800,"Does the control rod extend out of the back of the case, or is it completely enclosed? Thanks...",,It extends out the back. It's not much though.
open-ended,B000056SPM,4-Aug-14,1407135600,Does it use external power or just the usb? If it does use external power does it work on 240V?,,It uses USB power only
yes/no,B000056SPM,18-May-14,1400396400,Will this work with Microsoft X on Windows 8 ?,?,I have on way to test im on win7 for my games and sims
open-ended,B00005B8G3,19-May-14,1400482800,how good is it,,The gameboy is pretty good and mine still works just fine after all this time.
yes/no,B00005B8G3,20-Jun-14,1403247600,Does this include with charger?,Y,"It runs on AA batteries. The SP model has a rechargeable battery and should come with a charger, but this one uses regular batteries."
open-ended,B00005B8G3,24-Jul-14,1406185200,"Hi, is their is a batteries charge include or only use a batteries.",,You cannot charge the Game Boy Advance. You just put in new batteries. There is the Game Boy Advance SP which is rechargeable (and has a light).
open-ended,B00005B8G3,28-Aug-14,1409209200,"Are there games that are preloaded on this unit, or do you have to buy them seperately?",,Only separately
open-ended,B00005B8G3,3-Apr-15,1428044400,"On a scale from 1 to 10, how bright is the screen?",,The screen is not overly bright. It is good for playing games. I do not remember if there was a brightness control. I hope this description is good enough without resorting to a scale.
yes/no,B00005B8G1,24-Jul-14,1406185200,Does this include a charger?,N,no this does not come with a charger.
yes/no,B00005B8G1,11-Jul-14,1405062000,Is the backlit screen annoying?,?,My GBA doesn't have a backlit screen. All the colors of the GBA don't have a backlit screen.
yes/no,B00005B8G1,26-Jun-14,1403766000,Do they still make a ac adapter for the GBA?,?,"I doubt it. They have even started to stop making stuff for the original Nintendo DS. For old consoles like this, it much more likely that you will find it easier online than from the company."
